You know why you knock everything? - This should be stunning.	¿Sabes por qué criticas todo? Esto será interesante.	1	0
That's exactly why I'm not heavy into activities.	Uds., los ricachones, son tan listos. Por eso no participo en actividades.	0	0
You're afraid you don't belong, so you just dump all over it.	Tienes miedo de que no te acepten. No te gusta nada porque no perteneces.	1	0
It wouldn't have anything to do with you activities people being assholes, would it?	¿No será porque Uds., los que participan en actividades, son idiotas? Y o estoy en el club de matemáticas.	0	1
Well, I don't know any lepers either but I'm not joining their fucking clubs.	Tampoco conozco ningún leproso, pero no me uniría a sus jodidos clubes. Ni siquiera nos conoces.	0	0
Watch the mouth. - I'm in the physics club too.	Cuida lo que dices. - Y estoy en el club de física.	0	0
What I said was that I'm in the math club, the Latin club and the physics club. Physics club.	Lo que dije fue que estoy en el club de matemáticas el club de latín y el de física. El club de física. ¿Qué estás barbullando?	0	0
So academic clubs aren't the same as other kinds of clubs.	Los clubes académicos no son como los otros. Ese es un club académico.	0	0
In physics, well, we talk about physics, uh, properties of physics.	En física, buenohablamos sobre física y las propiedades de la física.	0	0
Demented and sad, but social, right?	Demente y triste, pero social, ¿sí?	0	0
I guess you could consider it a social situation.	Supongo que se podría considerar una situación social.   Se emborrachan, se drogan.	0	1
And, uh, at the end of the year, we have, um a big banquet at the Hilton. - You load up. You party.	Supongo que se podría considerar una situación social.   Se emborrachan, se drogan.	0	0
No. We get dressed up, but we don't get high.	No. Nos vestimos de gala, pero no nos drogamos.	0	0
Only burners like you get high.	Sólo los drogadictos como tú se drogan.	0	0
I didn't have shoes, so I had to borrow my dad's.	Como no tenía zapatos, mi papá me prestó unos.	0	0
My mom doesn't like me to wear other people's shoes.	A mi mamá no le gusta que use los zapatos de otros.	0	0
My cousin Kendall from lndiana got high once.	Mi primo Ken Mi primo Kendall de lndiana se drogó una vez y empezó a comer cosas raras.	0	0
He started eating, like, really weird foods and then he felt like he didn't belong anywhere.	Y luego, sintió que no pertenecía en ninguna parte.	0	0
You guys keep talking and Vernon's gonna come in here.	Sigan hablando y Vernon entrará aquí.	0	0
I got a meet Saturday, and I'm not missing it because of you boneheads.	No me voy a perder mi próximo torneo por culpa de Uds.	0	0
You wouldn't know about it, faggot.	No sabrías nada al respecto, marica.	0	0
You never competed in your life.	Tú nunca competiste en tu vida.	0	0
I have such a deep admiration for guys who roll around with other guys.	Admiro a los muchachos que se revuelcan por el piso con otros muchachos.	0	0
You'd never miss it. You don't have any goals.	Nunca lo echarías de menos. No tienes ninguna meta.	0	0
I figure all I need's a lobotomy and some tights.	Para eso sólo necesito una lobotomía y una malla.	0	1
There's not supposed to be any monkey business.	No debemos hacer ninguna diablura.	1	0
Young man, have you finished your paper?	Joven, ¿terminaste de escribir tu ensayo?	0	0
What are you gonna do? - Drop dead, I hope.	¿Qué vas a hacer? - Caer muerto, espero.	0	0
Bender, that's school property.	Bender, eso es propiedad escolar.	0	1
It doesn't belong to us. It's not to be toyed with.	No nos pertenece a nosotros. No se debe jugar con eso.	0	0
Very funny. Fix it. - You should fix that.	Eso es gracioso. Arréglalo. - Lo deberías arreglar.	0	0
We're just sitting here, like we're supposed to.	Nosotros estamos sentados aquí, como nos ordenó.	0	0
You want me to shake it out of you?	¿Quieres que te lo saque a la fuerza?	0	0
I don't have it. Screws fall out all the time.	No lo tengo. Los tornillos se caen. El mundo es un lugar imperfecto.	0	1
The world's an imperfect place. - Give it to me, Bender.	Dámelo, Bender. Y o no lo tengo.	0	0
Sir, why would anybody steal a screw? - Watch it, young lady.	¿Quién querría robar un tornillo? Ten cuidado, jovencita.	0	1
If he gets up, we'll all get up. lt'll be anarchy.	Si él se levanta Io haremos todos. ¡Será una anarquía!	0	1
Okay, watch the magazines. - It's out of my hands.	Cuidado con las revistas. - No me hago responsable.	1	1
I think violating fire codes and endangering the lives of children would be unwise at this juncture What are you doing? Get this out, for God's sake.	Violar los códigos de incendios y poner en peligro a niños no sería sensato a esta altura de su carrera. ¿Qué estás haciendo? Saca esto de aquí, por Dios.	0	0
What's the matter with you? - The school's equipped with fire exits.	¿Qué te ocurre? La escuela tiene dos salidas de emergencia en la biblioteca.	0	1
Show Dick some respect. - Let's go.	Muéstrale respeto a Dick. - Vamos. ¿Y si hay un incendio?	0	0
I expected more from a varsity letterman.	Esperaba más de un luchador del equipo titular.	1	1
The next screw that falls out will be you.	El próximo tornillo que se caiga será tuyo.	0	1
You just bought another Saturday, mister.	Te acabas de conseguir otro sábado.	1	0
Beyond that, I'll check my calendar. - Good! It's gonna be filled.	Después de eso, me fijaré en mi agenda. -¡Bien! Porque estará llena.	0	1
lnstead of going to prison, you'll come here.	Estoy libre el sábado siguiente.	0	1
I've got you the rest of your life if you don't watch it.	¡Vendrás por el resto de tu vida, si no tienes cuidado! Le hago un favor a la sociedad.	0	0
You got it! That's another one, pal.	¡Está bien! ¡Te conseguiste un sábado más, amigo! Sí.	0	1
You got one more. - You really think I give a shit?	¡Bien! Uno más. ¿Cree que me importa un bledo? - Otro.	1	0
That's seven including the first one when you asked whether Barry Manilow knew he raided his closet.	Siete, incluyendo la del Sr. Vernon robándole la ropa a Barry Manilow.	0	0
